,Utterance,Content_Focus,Media_Production,Inclusive_Disposition,Social_Disposition,Collaborative_Disposition,Cross-Cultural_Disposition,Info_Sharing,Participatory_Teaching,Feedback,Idea_Introduction,Knowledge_Acquisition,Curiosity,Self-Awareness,Task_Orientation,Technical_Difficulty,Language_Issues
11,I just thought of it just now and uhh the truth is I have not gone far.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Thank you. Maybe you'll come back to it uhh later and any other person maybe. Especially uhh Spring Valley and South Fayette. Student.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Well Uhh.  Hey Denis it's uhh me and my name's Nimish and I'm at South Fayette and my umm and my project is a Cosmo programming tutorial.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Thank you OK. Just continue.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"My name's Dhruv and I'm working on (inaudible). My second one is a programming effects robot that I'm moving to countries that, like I'm using a hacked Apple. Next summer We'll pick that up and place it in the (inaudible). It gets more stable countries.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,"My name is Harshi, I'm from South Fayette too and I'm working on two projects right now too. Umm one of them is a musical project that I'm working with Finland with and we have a couple made out of PVC pipe right now. And my other one is a project to make green (inaudible) that you could just make any like jewelry and (inaudible) we're working on that to right now.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
17,So what is that you are holding. What is that you are holding?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Flute made out of PVC pipe.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Can you play it a bit.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"A little bit, yeah. Not that much, but yeah. (Plays flute)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Wow thank you. I would like to know how the flute works maybe later. Once we are done with the introduction. Okay. Yeah, Thank you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,My name is Numa and I am from South Fayette. I am also currently working on two projects. My first project is a project (inaudible). And with my second project (inaudible).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,"Thank you. Thank you. Daniel, Tony and uhh Angela.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Hi. I'm Tony, from Spring Valley High School and today with me is Angel and Daniel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Did you should mention that (inaudible).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,"Uh We're from Spng Valley High School, Las Vegas. umm...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Which year are you in.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Oh I'm in ninth freshman and my project is umm we're trying to save the environment so I'm making umm trying to like research like on the vending machine that you umm you can put in like the plastic (inaudible) in your trash. Basically it gives you like like money back so like it pays you for like helping like save the environment.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,"Umm my project idea is about the water crisis in Flint, and I'm... We're seeing how we can fix it and why nobody is fixing it right now.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,"Uhh My two project idea that I'm working on right now. One is with the instrument project, which we're already done. Uhh second is my depressing PowerPoint which uhh is already finished if you just want to see it like its already on this screen thing.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Yeah yeah sure. OK. Thank you. Tony Dan Dan Daniel and Angela for sharing a bit of yourself and the projects you are want to present. So maybe Tony I uh I hope you can remember the other time we are talking about a certain project. I hope today it's ready.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Can you repeat that again.I couldn't hear you, could you say that again?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,I am I am I am telling I am saying. Last time there's a project we talked about which you are preparing and you are like uhh gave us a certain period of time when you'll be you'll be finishing. So I don't know whether you are finish or maybe almost?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Yeah i can present it right here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,It's OK if we can share uh share screen? You sure?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,OK. OK thank you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Which one are you doing?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Where is the thing.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Where's What? Wait hold on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Maybe if you if it is ready then I would love maybe if you can share screen, maybe in the next in the next one minute. Just uhh get it ready then. OK. No problem. uhh (2 minute pause)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,You know how I use it your computer for work.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"So this is my uhh PowerPoint On my sway I'm working on right now is about depression and suicide. umm. And... yeah so what is suicide? Suicide is a unhappy or depressed uh (background noise). Wait what? OK. Where he or she is likely uhh to commit suicide. uhh, oh I know, OK. The most common age of suicide is... In the year 2007, 17. The common age was 45 to 54. By the second year, the second age is around 85 years old or older... Lastly though, like the least common is around age from 15 to 24.
 So yeah. What are some reason for people to commit suicide? This is this part I went out and asked some people. So here's some... my result... Number one, the most common is depression number two is stress. Number three is loss or fear of loss. Number four is helplessness. Number five is believe your life is a burden to other. And my last one is isolation. So. Yeah. Uhh some suicide symptom that you might see is giving like giving things away for no reason. Uhh the change in their sleep pattern. Drinking alcohol, drug. Spending more time alone for no reason. Saying goodbye like it's the end of the world. Talking about dying. Uhh buying weapon for no reason. Uhh and also like depression and lack of energy. A way to prevent it, some ways to prevent this is by taking a day off. What you're doing and go outside and have some fun. Do something that you love to do. Listen to music play video game or watch movies. Avoid alcohol and drugs... Uhh attend some kind of support group... Umm and most likely you can play some sport, because sport is another way that you can relieve stress. I notice. Umm you can also hang out with family or friends, and the most important one is call the National Suicide Prevention Lifeline. So, yeah. Uhh that's my citation, and that's it. The guitar one. Oh yeah. Hold on. Oh yeah here. (background noise:  are you going to go backwards? any questions?) Oh yeah. Do you guys have any question for my project, for this part one?  Spending more time alone for no reason. Saying goodbye like it's the end of the world. Talking about dying. Uhh buying weapon for no reason.",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,"Wow it's really attaching truths like uhh it's something that uhh do work in our daily life cause when most of the people commit suicide, hanging themselves but somehow they don't know why. Some of the reason and how to prevent that. So maybe your projects are very inspiring projects and I just hope it maybe it can reach to other people so that they can learn something from you project. It's really a great one. Yeah.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
44,Oh OK. Thank you. Anyone else? Anything else... About it?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"If family or like someone that you are close to is going to like suicide how do you think you could prevent it or how do you think you could help. Your... by a standard, Not like the person.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,Wait what? Uhh. (Laughing) Wait what can you say that again I can't hear you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"If you think that one of your loved ones or someone you're close to is going to commit suicide how can you stop them from doing it. And how can you help without actually being the person that's going to commit it. Or like, just being a bystander.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,"Umm... I would say like, go out more. But really that's... It's really hard to see like when someone like at point of like taking their life. But... like... I don't know really.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,I think that you should probably (inaudible).  Or something to like talk them out and everything. I think that's fine. Thank you. When I'm (inaudible).I would like take them to a psychologist.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,"Anyone else? Umm.. But before that though I would like to say like, a rich thanks and, for a support from my friends and my family for this overall project idea. So, yeah. Anything else is to say before I move on?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Maybe is OK. Just continue.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Wait I also got a question. Like I know this isn't like a topic that many people write about but what gave you like the inspiration to actually do this project? (inaudible),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,Wait what can you say that again?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Like I know this isn't a project that many people might not write about, what gave you inspiration to do this project?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Umm... My inspiration. Uhh... Because uhh... I attempted suicide in my life. believe it or not. This whole overall idea of taking your own life really does bring me to the point of taking my life. Umm... Really my inspiration of it is umm I attempted suicide. I have attempted multiple time umm but it's all thanks to my parents and support from my friends that really bring me back. So I just wanted to make this overall Sway as kind of like a awareness to overall people that maybe try to attempt suicide and make them know that they are not the only one.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,(inaudible)  Like the comments (inaudible).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,"Salome do you have anything, maybe a new question to ask uhh Tony about his project?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Umm I think the project is actually good, but I have a question. How are you planning to spread this to let (inaudible).",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59,"I'm planning on spreading this by like... sharing on like Website. Or just make like a umm a kind of awareness group or something that to make people aware this kind of situation, or probably going to the school council and talk about concept because is very common for like teenager to take their own lives. So I just want your awareness. Yeah.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,"Uhh, so for our second video, uhh there were two, there were three people working with this project. Me, Jake, and Hannah. But they're not here today so... yeah. This is our second project that we were working on and we finish. So.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,"Yeah. So it's Spring Valley instrument project. oh. Go... Go, wait go or not.Oh it's going down. Down to scroll. Yeah. (Background Noise) Yeah. So. (Background Noise). So Jake's project idea was about guitar. Like what make a sound of guitar in general. And he just make it like a overall description of his guitars and how to make it basically. For my part it was the flute in general... So... It's mostly a wooden instrument, from a tube with holes along that are stopped by the finger or a key. So this is the parts of the flute that you need to know if you're planning on making it, like I am, but not going so well. (laughter) This is overall like a DIY flute. So, yeah oh my God. Hannah, her project was about the... Was about the harp. Yeah. And that's basically if for ours instrument project. So is there anything you want to say like give comment on.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,So what... I'm going to do. Uhh..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,So uhh basically this. Just do like... the important facts about the instruments.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"OK fine. Uhh... dry guitar using a wooden gear box as the body. Drill a hole in the lid with a plank for the neck, using a small wooden uh blo, block for the bridge. Drill screws into the head and tie the end of the strings to them. Yeah. (Background noise). So... Is there anything you guys... Talk like are there any suggestions for this? Angel do you want to say something?",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
65,I have a question.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"For the parts on making the guitar, uhh are you like what are you planning to use for the strings.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,"Jake didn't say anything about...umm for Jake though, I don't think he's gonna make a guitar. But if he's going to, I don't know.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,I don't know what type of string.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Well like, whatever is like the (inaudible). Would be it. Because I'm not sure that people are going to probably use like (inaudible).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Angel wanna say something.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,OK. Uhh any more questions?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,How are you planning to tune the instruments?,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,Wait what can you repeat that again.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,How are you planning to tune the instruments and get the right strings?,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,"Umm, I think that we have like... Basically here we have like warehouse where we can like buy like materials and stuff. So... Yeah probably sure we can like get the materials there.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,"Uhh from my flute, I think I'm probably going to make it all with like the overall surrounding like stuff I have at home. Not like... We try to make it as like to point of not going to the store and buy it. I'm planning on just like making the stuff at home. So like the thing I find at home just try and make a flute. Basically. So not going to the store to buy it.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,Is there anything you guys would like to add to our project about the instrument?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,"OK so maybe Tony if I may ask, I can see you have described different instruments in your Sway, which is a good thing, there are many details. Is there any instrument which you have made so far? Any maybe... The one that you have made before. What have you tried to make?",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,"I don't have my instrument with me though. Because of school... You have yours? No. Uhh we don't have our instrument with me. (Background noise)
 Yeah... That's all, that's our project. Yeah. Where's your Daniel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,OK. So basically my... I'm not done yet with my instrument project but I'm working on drums.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"Maybe, maybe before... OK. Maybe if you continue uhh Danielle... This is the only group which is working in musical. Working on a musical instruments. Uhh they, they are on Slack. Would you mind maybe sharing your Sway to them, so that they can learn something from your project?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"Yeah. Yeah. And then  when I'm done with my uhh drum project, I'll share it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Wow, thank you. Okay. So Danielle you are describing something.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"What, what. Uhh so is there anything else you guys wanna ask? If not, then I guess that's it for our project idea. Angel what are you working on right now, for your project idea?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"It's on the water crisis in flint, but I just started researching everything because I haven't started my project yet.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,That's it for our project umm. So... Yeah. Stop sharing. Yeah.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"Okay.  Yeah so, uhh, Tony kindly share that maybe after the meetup so that they can get to learn something.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Oh OK. I share it when the meeting is over then. Uhh, for my next project idea. I'm planning on doing like the enviornment project about global warming.
 So... That's my second idea. My third idea for my project though.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,Umm Because I've been noticing like...  Especially in Las Vegas right now... It's kind of cold for some reason. Like it's haling right... Yesterday it was hailing right wasn't it Angel? Yeah... So I was kind of wondering like what make that occurr... Because this is probably the first time that Las Vegas have hailing. So I was kind of like curious about like the global warming right now. Like how it's impacting the environment. So...  Like how it's impacting the environment. So...,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,With that we can also what happened (inaudible). Only 58 years (inaudible),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,OK... We can work together. OK. So yeah.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,"OK. Maybe another person who is interested in working with uhh Tony in his next project? And if you are interested you can just uhh at least uhh share the emails and uhh collaborate on that project. OK? Salome, you would like to work with Tony?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"Yeah, I'd like to work with Tony.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,Oh uhh... wait... that's... OK. uhh OK.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"So maybe, maybe you can share the emails maybe Salome you can write your mail in chatbox. Uhh the chatbox and also Tony so that I can get to... Chat and maybe discuss in case you are interested in me also, uhh communicating through the Slack, feel free OK. It's your own decision OK. (background noise) Then uhh, Nimish there's a project she wanted, you wanted to... Maybe... OK. Let's go to South Fayette student, uhh South Fayette student before maybe you come back to Mpesa Foundation. Nimi, Nimish you wanted to share a certain project?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"Uhh... Hello. So my pro... project was a Cozmo programming tutorial. Uhh, if you don't know what cozmo.  Is, it's a really tiny uhh robot toy that uhh you can program, play games with, and do uhh other activities with it, and so on. I have a Sway, so uhh... Just just... So pull it up I guess. It's on the agenda right? Yeah. So...  So Uhh... This is my project. And so uhh I made an obstacle course, and I programmed it using a Cozmo code lab. So. uhh...  This is my project. And so uhh I made an obstacle course, and I programmed it using a Cozmo code lab. So. uhh... So the materials you will like I used, were uhh... First of all you need a Cozmo. Uhh I use sticky notes for the obstacle course because it's uhh really fast and it's pretty flat. And also you need a, an electronic device with the Cozmo app. That's the Cozmo lab. That's how you are able to actually program Cozmo. Other blocks that I used, uhh that I used were these. This one's forward. Turn left, turn right, and act like a winner. So uhh forward block, it's pretty straightforward, it moves Cozmo forward. Turn left block it turns Cozmo 90 degrees to the left. Turn right block is the exact same, except 90 degrees to the right. And act like a winner makes uhh Cozmo act like a winner. You'll see it in the run that I have a video for. And so, how you change how forward would you go. So this is, there will be a keypad that pops up if you click on this right here, and then it's like a keypad so if you just type however. So I, if uhh. So I just did 10 so. I just put a one and a zero. Uhh... Like what are the things needed. If you look at the uhh obstacle course, you need to move... The Cozmo would be like facing this direction. It would have to move forward.  Turn right. Uhh go down. Turn left, and then go to the finish line. And so that's. And so the program. This is the final program that I had. I have it three rotations forward, turn right, three rotations forward, turn left and uhh three rotations forward, and then acting like a winner. Uhh and then... Here is the run. It's a video. And so. So that end part, was the uhh act like a winner block. And in Cozmo code lab, there are many blocks like that. Uhh like one of them is like act like a cat. And then Cozmo say ""Meow,"" ""Meow,"" so yeah. That was uhh my project.",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
97,"OK. Let me see if I may ask because I just saw the Cozmos moving through a certain, a certain sheet. The light blue sheet. Can it move on the ground, apart from where you placed it or just... Is it a must it be just on that like a blue sheet.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Uhh can you repeat that question?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,I'm saying... There's something. You are you are you... the Cozmo was moving on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Yeah. That blue thing was the sticky note which I used to make the obstacle course. I just stuck them together so that I can make an obstacle course. And I wrote with a pen start and finish.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,"So is it a must it move on that blue thing, blue sheet.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,It's it's... just a... blue.  It's just blue sticky notes combined together... To make uhh pattern.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Okay maybe. Any comment or question concerning Nimish project or Cozmos?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"I got a question. Are you gonna like... When the obstacle, are you gonna do like, are you gonna advance it like probably next like do with like blocks or something?",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,"Uhh Cozmo it only (inaudible) up but... Uhh that was the code lab, but there is a more like uhh... A more scratch-like the one called uhh constructor mode. That for code uhh code lab. As you saw you could only do like whole numbers, but in constructing you can do decimals. So...Yeah.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,Cool. Okay. Thanks. Oh.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"Uhh for the code, for the robot.  I was wondering did you buy that or did you make your own?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,"So uhh there is this one competition. It's called the A.I. competition. Uhh, uhh one day my mom and me, we both went to one of them to see how it works. And uhh at the end they gave like the, uhh they gave everyone a Cozmo. And so, then after my mom said that you can uhh I found out that you could program it. And so then I was intrigued to do this project.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,"Wow that was a very nice project Nimish, they did love it. Then maybe before we continue the other's project I heard that there are couple of student who were uhh supposed to leave at uhh 5:15. I don't know whether it's PM or  AM… 5:15 to at least share something maybe from (inaudible). OK then we'll come to (inaudible).",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
110,"Umm my project was... uh well I don't have my project... I don't have any footage of it right now... I can show you my (project name) I just... I just put like statistics of different cars on and I'm not completely done with it, I have a few more (inaudible).",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
111,Pardon.. What... You have said your project?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"Go back to. Yeah just open it... Go on... You see it says share... Just click the... where's the PowerPoint...
 Click share.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,I didn't add any animations yet. This is a template I used a online uhh for PowerPoint.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,This is Lam... The Lamborghini. Which is one of the most famous cars. And I just have statistics on the Lamborghini Centenario. And I had to go on (inaudible) different prices and excel in like (inaudible). And then I Added McLaren spider and the uhh P1 and then I just added Chevrolet Corvette. And then Bugatti I didn't finish it yet because I was gonna do the Bugatti Chiron and a Bugatti Veyron... I didn't finish that part yet... And then I'm adding Tesla. And that's it.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
115,"Wow! Are those the latest brands? I don't know... Maybe huh? Any comment maybe... On uhh, uh you have said uhh Dhruv's project... Any reaction?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Where did you get the inspiration for your project idea for the cars?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,Well... (inaudible). That's why.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,Are you also like planning to like make your own car in the future? To be like... starting a new company or something?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,Well for that... I'll need (inaudible) in the first place so... There's about like a 10 percent chance I'm going to try to make it happen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,We need to leave at 5.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"Maybe to cut the time short cause uhh... They're supposed to leave at 5:15. So maybe, I'd like uhh those students who are leaving at 5:15. I would like to thank uhh... Dhruv for sharing your project. Is there any other students... Maybe... Who is supposed to leave at 5:15 so that you saw that he or she can share their project. It's all our project. Now definitely... (inaudible). Anyone who is leaving at 5:15 to share his or her project? Thank you... Thank you for sharing your projects OK? Really appreciate your uhh your participation. (laughter) Yes. Thank you.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
122,"(Background Noise)... You are so mean ...  Uhh thank you for this meeting... Uhh I really appreciate some of your guys' work like some of your projects. I find it intersting, epecially with the car... Uhh because I watch Top Gear, or the grand tour... So knowing that kind of idea, I kind of interested on your project idea of a car.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,Yeah. When I was little I always loved cars... So yeah I like them. (background noise),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Thank you Tony for your... Uhh your reaction concerning the cars. OK thank you. Uhh I don't know... A student from South Fayette just directed the camera... You wanted to say something?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"I'll go next. So as I told you my project is on uhh flute made out of PVC pipe. We have three different versions that we drilled... But we've been working on this project from last year. We have three different versions. We drilled one today, but it wasn't really that much of a success because one of the holes were too big. And... These two were ones that we kind of just did. Off... Basically because last year what we did a whole year we were just spending time just researching and researching and we never found anything. So we... This year we kind of just were like we're done. So we just... I play the flute so we kind of just used my fingerings and try to just make it. I don't know like what we thought it would be. And then we made two that way, one with bigger holes and one with just... Smaller holes. The bigger holes was the one that we thought turned out the best out of all of them which was our first one, which is the one I played for you guys before. The smaller hole one was pretty much the same thing except we haven't gotten around to actually finger all of the things and... It doesn't sound as good as... Like as I played Mary Had a Little Lamb. This one had different fingerings, and we still haven't figured it out. And then as I said, the last one that we drilled today, actually based on instructions that we found online. Except we didn't have the right size, and the one that we did drill the wrong size... It was too big. So that didn't work. Like I think you can see right there. Compared to all the other ones that one is a little big... So. Yeah. Those are the three that we had.  Any quesitons or comments?",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
126,Salome do you have any comment concerning the flute uhh?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Uhh... I have a question... How do you make your hole? Like how you like drill the hole? What kind of thing do you make to drill your hole through?,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,What we did was... We used an actual drill press to go through the PVC pipe and we used spade bits of different sizes.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,What did you use for your flute in general... Like... What did you use to make that.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,"We used 3, 4 inch PVC pipe.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,If I may ask... Is it a hollow... Hollow pipe with holes? Or there's something inside?,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,It's a piece of PVC so it's hollow... But we drilled the holes on one side so that way we could actually finger it.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
