RowID,CollectionDate,Site,Speaker,Utterance,Content_Focus,Media_Production,Inclusive_Disposition,Social_Disposition
36,20170422,SAG,Ateamate,Okay would you mind first the person who just joined to introduce herself then Denis he'll come in,0,0,1,0
37,20170422,NYSCI,Gabriella,I think do you want her to introduce herself?,0,0,0,0
38,20170422,SAG,Ateamate,Yes,0,0,0,0
39,20170422,NYSCI,Gabriella,Sure just do it again one more time so everyone hears,0,0,0,0
40,20170422,NYSCI,Alicia,My name is Elisia Weaver I'm a sophomore in high school I just started with the associate producer program I started about a few months ago,0,0,0,0
41,20170422,SAG,Ateamate,Okay Denis you can go over an explanation of the video before it's played. What is it all about?,0,0,0,0
42,20170422,SAG,Denis,Okay thank you Atemate so my video is about real life you've been hearing one of the biggest so what I was saying to do is just to go around and study their life and see what they're doing so I went to do some observation and took some photos and videos so everything that I got is what I want to share with you yeah so that's all about my video,0,1,0,0
43,20170422,IC4,Danielle,Great I'm gonna go ahead and play it,0,0,0,0
44,20170422,SAG,Ateamate,That's a very very nice video Dennis actually I because we do come from there and life in Kadera is really really hard so you can see what people do go through I mean how difficult life is  but they do survive so if you can give your contribution about on the video okay if you are in that position what could you have done it's real that's life in Kadera now if you're in that situation what could you have done?,0,0,0,1
45,20170422,IC4,Dr. H,Dennis are you there?,0,0,0,0
46,20170422,NYSCI,Yvonne,I think your video is frozen,0,0,0,0
47,20170422,NYSCI,Gabriella,Ah he's still here though,0,0,0,0
48,20170422,IC4,Dr. H,Okay  Dennis you're on mute,0,0,0,0
49,20170422,NYSCI,Gabriella,And his video is gone,0,0,0,0
50,20170422,NYSCI,Yvonne,Just for future technical difficulties if anybody has technical problems you can always just chat in the type what you wanna say in the group chat window,0,0,0,0
51,20170422,SAG,Ateamate,Okay now we can contribute on the video,0,0,0,0
52,20170422,SAG,Ateamate,Okay anybody to contribute I mean to comment on the video yeah because that's the life in Kadera okay what if you are the one in that position what can you do to come out of such a place or how what could you have done to at least help those people in such a place?,0,0,0,0
53,20170422,NYSCI,Gabriella,I just wanted to comment on the video I thought it was really well done and it drew attention to an actual issue and like I thought the production the way it was kind of laid out and made was really well and it really did a good job explaining what life is like there and it showed us who don't live anywhere near there it showed us what it was like a window into the world that people there like what the conditions are like how they live. I thought it was really well done and I applaud you Dennis I don't know if you can hear me though,0,1,0,1
54,20170422,IC4,Danielle,Oh looks like Dennis has lost the connection,0,0,0,0
55,20170422,NYSCI,Gabriella,Aw well when he comes back I'll tell him,0,0,0,0
56,20170422,IC4,Danielle,Yeah thank you ,0,0,0,0
57,20170422,MPESA,Ashley,About the video I think it's really great Dennis has really done good work I was actually almost crying because that was really true that is what life is like there uh people suffer and we tend to assume when we are on this other side we tend to forget what others are going through so I think that spending time with teenagers in a place  advising them on how to study that they can really work hard they can change their future and everything I think that's what you can do is just communicate and talk with them that it can get better and yeah I liked the video a lot,0,0,0,1
58,20170422,SAG,Ateamate,Well that was really great presentation I like how he edited the video like he used the transitions I mean you see uh Dennis and I we do use Camtasia to edit our videos and it's been a process but not so long like 3 months we've been using the Camtasia and so far I think we've catched up so in the video making process I think we are good to go yeah,0,1,0,1
59,20170422,IC4,Dr. H,I really appreciated it as an adult and I've been to Kadera but I've never actually heard anyone any of the students to reflect on what it's like and to express it so Dennis thank you very much.,0,0,0,1
60,20170422,IC4,Danielle,And this is Daniel I just wanted to comment that what I liked about the video is that it also highlighted hope that people have to other that they have to kind of build camaraderie in the community so I appreciated seeing that too,0,0,0,1
61,20170422,NYSCI,Yvonne,Just in case Dennis can't I don't think he has a connection right now to hear us giving him all this awesome feedback,0,0,0,1
62,20170422,SAG,Ateamate,Okay he's trying to reconnect to join the meeting but I think in due time he'll be with us but yeah we can still contribute to the video I mean comment on the video yeah well Gabby I mean Yvonne what's your say on the video,0,0,1,0
63,20170422,NYSCI,Yvonne,Gabby kind of said exactly what I wanted to say which is I never would have thought life is like that there and I think that I loved how the video was so descriptive of how life is there and I loved the music combined with the transitions and the text all put together it was really nice I thought and I really enjoyed it,0,1,0,1
64,20170422,SAG,Ateamate,Well that's really great so I don't know if Dennis will be able to join so that he may give the final no we have a friend over here Abraham what's your say on Denis' video - oh Dennis is back! Abraham your turn,0,0,1,1
65,20170422,SAG,Abraham,I think it was amazing um I think it's just a perfect example of what life is like in Kadera and it's just fascinating congratulations Dennis,0,0,0,1
66,20170422,SAG,Denis,Thank you,0,0,0,0
67,20170422,SAG,Ateamate,Dennis now such a video to bring all the pictures together to edit,0,1,0,0
68,20170422,SAG,Denis,So thank you Atemate so what motivated me on making that video  first I do live in Kadera and I know all the challenges there is all the suffering they go through and still to strive for survival so I thought maybe going around and maybe capturing some of the events and sharing with you so maybe can get some opinion and some ideas for you yeah thank you for watching my video,0,0,0,1
69,20170422,SAG,Ateamate,Well Dennis that's really great so I think there's another video Yvonne you had a video to share so can you talk about it before it's shared because it's next in line Yvonne what's your video all about?,0,0,1,1
70,20170422,NYSCI,Yvonne,Well I think Gabby wanted to say one more thing about Dennis' video,0,0,1,0
71,20170422,NYSCI,Gabriella,Oh yeah just now that you're back Dennis I wanted to say I really thought your video was really well done I saw at the end you credited yourself as like you shot the video did you take those pictures?,0,1,0,1
72,20170422,SAG,Denis,Yeah I took the pictures around Kadera then I gathered,0,1,0,0
73,20170422,NYSCI,Gabriella,It looked like a professional video yeah it was really well done and the way you added the music over it  it reminded me of like yeah professional video you could see on like yeah it was really well done,0,1,0,1
74,20170422,NYSCI,Yvonne,Yeah I don't know if you could hear but everyone gave such positive reviews on it  it was really well done,0,0,0,1
75,20170422,MPESA,Ashley,Dennis?,0,0,0,0
76,20170422,SAG,Denis,Yeah Ashley?,0,0,0,0
77,20170422,MPESA,Ashley,Uh you said that you took the photos yourself - you are a professional photographer I actually thought you took the videos from Google you can do that then that's really nice I liked it,0,1,0,1
78,20170422,SAG,Denis,Yeah are there those photos on the Google? I don't know,0,0,0,0
79,20170422,MPESA,Ashley,I'm not sure I'm not sure,0,0,0,0
80,20170422,SAG,Denis,Okay thank you but taking photos around Kadera is not that hard I ,0,0,0,0
81,20170422,MPESA,Ashley,I bet it's hard,0,0,0,0
82,20170422,SAG,Denis,No  no,0,0,0,0
83,20170422,NYSCI,Yvonne,Okay so just to give a little brief background on my video so it's about mushroom burials so it's a different way of being buried so that you sort of decompose through the earth and give back so you sort of come up and we sort of it's like instead of just being buried in a coffin and like rotting in the ground you can instead choose to be buried using mushrooms and I'll let the video explain for itself,1,0,0,0
84,20170422,IC4,Danielle,Alright this is Danielle I'm gonna work on sharing that video  can mushrooms eat you that's the one right? One quick thing sorry I'm gonna actually show myself really quick hi again everyone I am just observing but I wanted to introduce Rachel who is also joining us from Namibia and just wanted to introduce her and she's also just observing  Rachel did you have anything you wanted to say really quick? Oh she actually she has a lot of terrible noise in the background so maybe not but just wanted to say hello really quick and say hellon on behalf of Rachel as well as Kristina and Dr. Hamilton who are here so okay now I'm gonna go show this awesome video,0,0,1,0
85,20170422,IC4,Kristina,Hey everyone this is Kristina I'm calling from California good morning  good afternoon,0,0,0,0
86,20170422,IC4,Danielle,Cool!,0,0,0,0
87,20170422,SAG,Ateamate,Well Yvonne I think that's a very  very amazing video. It's actually giving us an idea of I mean burying somebody yeah what motivated you to make such a video? Uh because yeah for me that has never come up in my mind so what motivated you to get you to make such a video?,0,0,0,1
88,20170422,NYSCI,Yvonne,I actually I wanted to say that it's actually more of a tribute to my colleague who no longer works here she's the one who came up with the idea and produced and directed it but I helped her with the audio and the filming of it and I wanted to share it because I thought it was a really good video that really was well put together to sort of show people about mushroom burial which I don't think is super well known,1,0,0,1
89,20170422,SAG,Ateamate,I think right now in the group it's well known hopefully everybody has been able to learn something from the mushroom burial yeah so now I'll welcome comments from other members on the video,1,0,1,0
90,20170422,SAG,Denis,So my comment about the video I think the video was nice and learning something from mushroom that not get some of the main thing but some of the points I got about the mushroom was very educative I did not know all this about mushroom but thank you for sharing that wonderful idea,1,0,0,1
91,20170422,SAG,Ateamate,Dennis what was really educative from the video can you elaborate more what was educative?,0,0,0,0
92,20170422,SAG,Denis,So Atemate all those that I've seen I did not know about that mushroom so through watching the video I've learned a new thing which I didn't know I've learned a new thing,1,0,0,0
93,20170422,SAG,Ateamate,Yeah so actually I think all of us have learned a new thing from the mushroom burial so just a rough question would you practice mushroom burial Dennis?,1,0,1,0
94,20170422,SAG,Denis,no no I can't,0,0,0,0
95,20170422,SAG,Ateamate,Oh really?,0,0,0,0
96,20170422,SAG,Denis,Yeah I can't,0,0,0,0
97,20170422,SAG,Ateamate,Why can't you practice the mushroom burial later we are here to do these things practically after learning we are here to do these things practically in our real life situations so why can't you do it,1,0,0,0
98,20170422,SAG,Ateamate,Hey Dennis can you tell us why can't you do it?,0,0,0,0
99,20170422,SAG,Denis,I've never tried maybe I will try in the next meeting I'll discuss it with you,0,0,0,0
100,20170422,SAG,Ateamate,Okay okay okay so any other contribution?,0,0,0,0
101,20170422,SAG,Abraham,Yeah I have a comment I think it's a good video because many of us we mostly in Kenya we know that mushroom is to be eaten it is food so at least I'm educated thank you thank you for that video,1,0,0,1
102,20170422,SAG,Ateamate,Uh first of all let's welcome Rachel I think everyone can see Rachel at least you can see her face hi Rachel!,0,0,1,0
103,20170422,IC4,Rachel,Hi! Hello everybody hi,0,0,0,0
104,20170422,SAG,Ateamate,Rachel you are welcome so Abraham you just said that you learned at least a different use of mushroom that's really great and I think you'll make it practical like as Dennis said he is willing to practice that so any other comment Ashley?,1,0,1,1
105,20170422,MPESA,Ashley,I think the mushroom video is really nice I actually personally I hate mushroom as food so I was thinking okay what's the use of mushroom if I can't eat it and I find it disgusting so glad it has a use and it's really unique like it prevents the soil from it maintains the soil structure I think it's really important for us to start practicing that since it's an educating process Dennis so we should just try it ,1,0,0,1
106,20170422,SAG,Ateamate,I think that was great Ashley any other thing from any member? Yeah Gabby I think Gabby you can say something then your friend she's so quiet,0,0,1,1
107,20170422,NYSCI,Gabriella,Uh yeah I just wanted to uh cause I hadn't seen this video I actually didn't get to see it when it was being produced but I was just thinking I lost my train of thought hold on I was thinking it's great because you're able to have something good come out of something bad because you know death is obviously like it's a sad thing but at least by using this method of burial something good can come out of it and it can help our planet and I thought it was very educational and I love the way it was shot and I actually want like that's inspiration because now I have an idea of that actually you could pull that off  because we use the same equipment we use the same like everything and I could actually imitate that in one of my own videos so I was just commenting that it's a really good video I think it's really inspirational I think in the future I'd like to make stuff like that - of that caliber.,1,1,0,1
108,20170422,NYSCI,Yvonne,Yeah I commented this in the group chat already but I just wanted to thank everyone for their really kind feedback I'll definitely pass it on to my friend who originally produced it,0,0,0,1
109,20170422,SAG,Ateamate,Yeah I think Yvonne that is really wonderful but just wondering how did you come up with the video yeah the explanation is nice but I don't know how you did figure out how you came up with the bodies how did you manage that,0,1,0,1
110,20170422,NYSCI,Yvonne,I think we actually sort of took the images of the bodies from the internet I don't think we actually physically acted it out though it would have been cool to do so I think we showed the images more so to just show what it looks like and how it's done but the animations you saw in the video like the drawings were all done digitally.,0,1,0,0
111,20170422,SAG,Ateamate,Oh Yvonne I've just seen something yeah it's so curious were you the one who was on the ground at the end of the video yeah at the ground were you the one?,0,1,0,0
112,20170422,NYSCI,Yvonne,I think that picture was taken off online,0,0,0,0
113,20170422,NYSCI,Gabriella,I think because it actually is a thing like the pictures that you saw it's someone that's proposing like creation and use of the suit so it's someone else that has actually actively done talks on it and has prototyped it so we kind of took that and took the information well they I assume took the information they found and made it so that it's easy to understand like if you're not necessarily a scientist you kind of understand the science behind it and so it's interesting to find out the science behind it but I don't think anyone actually put on the suit I don't know if you can get the suit but yeah it was from like the internet,1,1,0,0
114,20170422,NYSCI,Yvonne,The inspiration was from a Ted Talk actually which I think you can look up about mushroom burial. Now the one the image in the video with the person wearing the suit and sort of wearing a speaker around there I don't know if you remember that image but that was from a Ted Talk so I think you can look that up if you wanna learn more about mushroom burial,1,0,0,0
115,20170422,MPESA,Ashley,Let me just say for a minute I think what she meant is at the end like at the end of the video you I think you were smiling like it was just a joke showing how the mushroom thing can be done I saw something like that I think,0,1,0,0
116,20170422,NYSCI,Gabriella,I could pull up the video now and see if I can find what they're talking about do you want me,0,1,0,0
117,20170422,NYSCI,Yvonne,Sure,0,0,0,0
118,20170422,NYSCI,Gabriella,Yeah I'm gonna pull up the video to see what it is that we're talking about maybe we could clarify,0,1,0,0
119,20170422,NYSCI,Yvonne,We have a separate computer here where we can pull it up and just scroll through,0,0,0,0
120,20170422,SAG,Ateamate,Rachel how about if we welcome your comments what I mean what's your take on this video how was it to you,0,0,1,0
121,20170422,SAG,Ateamate,Rachel?,0,0,0,0
122,20170422,IC4,Rachel,Um yes um well for me the video was actually I learned something new because I didn't know about mushroom burial I just know you eat it you know I just knew that with mushrooms I just knew that it's something edible but I didn't know about mushroom burial so I learned something new and the video was quite nice the quality and the way it was made I just loved it so yeah,1,1,0,1
123,20170422,SAG,Ateamate,Well that's great so Yvonne are you ready with the video?,0,0,0,0
124,20170422,NYSCI,Yvonne,Yeah I think,0,0,0,0
125,20170422,IC4,Rachel,Pardon me? Excuse me?,0,0,0,0
126,20170422,NYSCI,Yvonne,Is this the image you were talking about? Uh no hold on let me play it for a second. Is this the one? ,0,0,0,0
127,20170422,IC4,Dr. H,Yeah that's the one,0,0,0,0
128,20170422,NYSCI,Yvonne,Yeah that was the one I was talking about that was sort of pulled from the internet it was pulled from somebody who  the same person who did the Ted Talk where she actually acted it out and sort of modeled what it would look like to do the mushroom burial,0,1,0,0
129,20170422,SAG,Ateamate,Oh so I think that's really great uh any other comments on the video?,0,0,0,1
130,20170422,IC4,Rachel,I just want to quickly say something I kind of missed the first part of the video most of it but I had just a question about mushroom burial and I was like what are they talking about like there's something called mushroom burials I just knew that you ate mushrooms but the most part of the video I missed because I had to go to the bathroom so yeah it would really be nice if you could share it so I could watch the rest of the video?,1,0,0,0
131,20170422,IC4,Dr. H,Well one thing that we can do and one thing that we need to do is on the uh on the project notebook there's a section for completed projects or completed videos and Yvonne if you can go into the OneNote and put a link to the video in there then we'll have and we need this also Dennis for your video so we'll start to build our library and people can look at them at all times and actually you know Yvonne if you want if you put a link in for your URL I'll put that in right now for you,0,0,1,0
132,20170422,IC4,Rachel,Okay that would be nice then I could catch up with the rest of you guys and watch the video,0,0,0,0
133,20170422,NYSCI,Yvonne,Yeah it was actually I don't know if you guys all have access to it but there's an agenda that Danielle just posted a link to yeah there's an agenda where all the shared videos are and you can find a link there but I'll definitely post it in the finished video tab after the session,0,0,0,0
134,20170422,SAG,Denis,Okay thank you for sharing that wonderful video and I think from your video I learned a lot. I did not know something about the mushroom burial and from your video I think I have learned something. Thank you.,1,0,0,1
135,20170422,SAG,Ateamate,Well that was so wonderful of you Yvonne and the rest of us for the contribution I think it has made a positive impact Dennis please go practice it that will be of very importance so I don't know if anyone else has a comment before we go to our next video any other comment?,0,0,0,1
136,20170422,SAG,Ateamate,So there's another video in place and that is for Nancy  do we have Nancy?,0,0,1,0
137,20170422,NYSCI,Nancy,Yeah  hi,0,0,0,0
138,20170422,SAG,Ateamate,Yeah Nancy can you say something briefly about your video and then we'll have it shared with everybody,0,0,0,0
139,20170422,NYSCI,Nancy,Alright so the video I shared was the video about our annual gingerbread building event so there's an artist who comes every year to build a world record of the number of gingerbread houses and yeah so you can see it in the video and the process of what he does and stuff,0,0,0,0
140,20170422,NYSCI,Nancy,Yeah you were saying,0,0,0,0
141,20170422,SAG,Ateamate,Okay go ahead Nancy,0,0,1,0
142,20170422,NYSCI,Nancy,So the video was basically talking about the gingerbread village and the various little shops that the artist builds and at the end he likes to give away the houses but they've also been in the museum for like a month or so like it's not advised to eat them but you can keep them for like showcase,0,0,0,0
143,20170422,IC4,Danielle,And this is Danielle so Nancy did you make the video?,0,1,1,0
144,20170422,NYSCI,Nancy,Yeah I was a camera operator and I helped with like the producing of it,0,1,0,0
145,20170422,IC4,Danielle,Thank you Nancy did you also edit?,0,1,0,0
146,20170422,NYSCI,Nancy,No I didn't edit this video,0,1,0,0
147,20170422,SAG,Ateamate,Okay I think I really loved that video Nancy though it's making Danielle so hungry  Danielle so the video I mean it's so creative even though you see the icing the use of icing it's really creative I mean I just like it yeah it's giving another actually what I've learned today; our videos are giving us another use of something like the initial one it was another use of mushroom and now it's another use of icing I think I'm very good with it I've learned something yeah and so anybody with a comment?,0,0,0,1
148,20170422,SAG,Denis,Thank you Atemate so when I look at everyone the video we have shared I can see great minds so from the last video there's more decoration and yeah everything was wonderful and I thank you Nancy for sharing that wonderful video with us. Now here in Kenya sometimes but the video maybe from outside it become amazing and wonderful thank you for sharing that video,0,0,0,1
149,20170422,SAG,Ateamate,Yeah anybody with a comment?,0,0,0,0
150,20170422,MPESA,Ashley,I thought the video was great she's really done good work Nancy that's good job and it actually really made me hungry and I'm really hungry right now it's good I like learning something new everyday thank you much for educating me. The video was great. It's really awesome.,0,0,0,1
151,20170422,NYSCI,Nancy,Thank you for your feedback. I just have a question do you guys like celebrate Christmas by any chance or is it not as popular in Kenya?,0,0,0,1
152,20170422,NYSCI,Yvonne,Wait sorry unmute,0,0,0,0
153,20170422,SAG,Ateamate,Oh so I think those are very nice comments and I think Nancy that's really I mean it's so creative of you and um what of Abraham what's your comment about the video?,0,0,1,1
154,20170422,SAG,Abraham,I think it was perfect yeah she really gave all she had in it and that was good it was a good video,0,0,0,1
155,20170422,SAG,Ateamate,Nancy I think you had a question so if you may repeat that for us so maybe people didn't get it so if you can repeat it for us so that we may be able to react on it,0,0,1,0
156,20170422,NYSCI,Nancy,My question was do you guys celebrate Christmas or is it as popular there? In Kenya?,0,0,0,0
157,20170422,SAG,Ateamate,Oh in Kenya we do celebrate Christmas but it is not that big deal to many people because most of the people tend not to afford the cost of celebrating so they do it to their best but as compared to you guys how we normally see still not that - people do celebrate it by going to church by meeting their families yeah so they take that as an opportunity to get together as families to go to church to pray together yeah so that's really what we do in Kenya,0,0,0,0
158,20170422,SAG,Denis,Then to share something to share something about what I want to say about Christmas where I'm coming from Western Kenya they normally have a certain protocol they follow during Christmas. For example in the morning people go to church families go to church then after church they prepare a meal which they share together then after some time they prepare a lunch they share together then late in the evening they go to meet their friends outside maybe in a marketplace so they interact with people and at night or let's say maybe at night they normally dance they go some people go to uh we call them where they can get music yeah they dance they enjoy themselves and we call it a day yeah,0,0,0,0
159,20170422,SAG,Ateamate,Okay Ashley maybe you can share your bit of experience about Christmas Nancy was asking how is Christmas done in Kenya is it commercialized so what's your bit about Christmas,0,0,1,0
160,20170422,MPESA,Ashley,According to me and how I was raised Christmas is the time where you have fun with your family you spend time with them and in my family during that we usually have family reunion so you bring your family together so that you know each other my uncle believes if you don't do that one day you might end up marrying each other because just like that so yeah that's the time we take to reunite to talk to have fun to set objectives for the next year and we also thank God for that was the day Jesus was born yeah,0,0,0,0
161,20170422,SAG,Ateamate,Well so that's really wonderful but you see so you see most of the Christmas holiday people do go to their countries but those who are in town mostly in town people minimal because people tend to reunite back at home so you find the town it's not very busy the city so yeah,0,0,0,0
162,20170422,SAG,Denis,So let me maybe ask Nancy a question not Nancy Ashley between Christmas and Easter which one do you think is the greatest is the greatest feast?,0,0,1,0
163,20170422,MPESA,Ashley,Um I think okay that's hard okay let me see um according to me I think Christmas is greater for me because this is the time that I meet with people I love but in Easter you see my cousin or my friend might be my cousin might be in school my friend might be in school or someone is outside the country it's really hard to get to know them I know you're seeing in perspective of Jesus being  Jesus being resurrecting and stuff but I think Christmas is all about getting together stop laughing ,0,0,0,0
164,20170422,SAG,Ateamate,Wow so that's wonderful so let's say our tradition in Kenya and Nancy what about in New York what is the tradition I mean what is the position of Christmas holiday there,0,0,0,0
165,20170422,NYSCI,Nancy,Well in like America we like to um like celebrate Christmas because it's a time like also in Kenya we have family gatherings and it's also really close to New Year so I agree with Ashley we like to think our resolutions for next year as well and New York especially is during winter time so we think the whole snow white Christmas and like Santa yeah it's a fun time and we also have winter break so it's like yay no school,0,0,0,1
166,20170422,NYSCI,Gabriella,And just to add on I like how we found the common ground of like we celebrate and for both of us really the core of it is getting together with family and uniting and trying to make resolutions to better yourself and have a better year and even though the way we celebrate it is pretty different like ours is more commercialized with like all the presents and the gifts and presents and lights and stuff I love how for the both of us well for us no matter where we are at the core of it is uniting with family I think that's the most important part and cool that all of us share that,0,0,0,0
167,20170422,NYSCI,Nancy,Yeah I agree,0,0,0,0
168,20170422,SAG,Ateamate,Well that's so wonderful Gabby I think anybody else who has any comment on Nancy's video and if there is none there are some questions that came up if somebody took a look at the agenda so Yvonne,0,0,1,1
169,20170422,IC4,Danielle,And this is Danielle and maybe we just tackle one question and then we probably need to wrap,0,0,0,0
170,20170422,NYSCI,Yvonne,Yeah we've been going on for about an hour so does anybody have some final comments? Before I ask these questions?,0,0,0,0
171,20170422,NYSCI,Yvonne,Okay so some of these questions are posed by a lot of people here like Danielle and Nancy and Dennis you guys asked about career goals and your inspiration and if you would have one special power what would it be does anyone want to answer that before as a last thought?,0,0,0,0
172,20170422,NYSCI,Gabriella,I mean if I had a special power I'd want like super power is that what we're talking about?,0,0,0,0
173,20170422,NYSCI,Yvonne,Yeah yea,0,0,0,0
174,20170422,NYSCI,Gabriella,I'd want like white bird wings so I could fly and travel and visit people in other countries. Also cause I like flying,0,0,0,0
175,20170422,NYSCI,Yvonne,I agree I feel like my spirit animal has always sort of been a bird just because I've always wanted to see what it's like up there,0,0,0,0
176,20170422,NYSCI,Gabriella,What about you guys?,0,0,0,0
177,20170422,IC4,Danielle,Oh there goes,0,0,0,0
178,20170422,IC4,Danielle,That was a lot of jumping in the connection but did anybody hear that anyone wanna chime in on their super power?,0,0,0,0
179,20170422,MPESA,Ashley,So the question is about what if you had a superpower what would you do with them?,0,0,0,0
180,20170422,NYSCI,Yvonne,What superpower you would wanna have,0,0,0,0
181,20170422,MPESA,Ashley,Let me see I think I would like if I was to choose if I was able to  Avatar everybody knows Avatar right? He's an air bender I think I'd like that I'd like that because you get to do a lot of stuff so in that way I can actually prevent wars I can maintain I can preserve the environment using my ground and water bending I think that's what I'd like to be if I have powers,0,0,0,0
182,20170422,NYSCI,Nancy,I love that because one of the main jobs of Avatar is maintaining peace within the world and having that would be a really cool superpower,0,0,0,1
183,20170422,NYSCI,Yvonne,I love that we all know Avatar it's one of my favorite shows it's like my childhood. I love the idea of being able to bend the elements too oh my god. That's really cool,0,0,0,1
184,20170422,NYSCI,Yvonne,Does anyone else wanna share what superpower they'd wanna have and what they would do with it?,0,0,0,0
185,20170422,NYSCI,Nancy,Well other than Avatar I'd probably wanna have the power to time travel cause I think that'd be really cool to go back to early 1920s how to see like how life was like in America or other places in the world or in the future as well how is technology going to effect our lives if there is actually going to be robots or flying cars,0,0,0,0
186,20170422,NYSCI,Yvonne,And in terms of sort of answering the other questions about career goals and inspiration I don't know if I can speak for all of us here at the New York Hall of Science but my inspiration is just really sort of my passion for learning and science and the reason why I love being apart of the New York Hall of Science and being an associate producer and this project is I get to work with people who are so passionate about what they do and create videos which I love that we have this common ground on,1,0,0,0
187,20170422,NYSCI,Gabriella,I agree completely that's kind of what drives me like in terms of the grand scheme of things I think my driving inspiration is also a love of learning and discovering new things that's why I love math and science and technology cause it really shows you how the world works and why it works the way it does and I love learning about it and in terms of specific video topics just anything that I find interesting and that I like because I'll think to myself why does this happen like this why is this a thing and then I try and figure out okay is this something other people want to find out about is this something someone would like to see in a video and then researching and so forth and that's kind of how I get inspiration for like videos,1,0,0,1
188,20170422,SAG,Denis,Thank you uh I like to share something about the two question. About the first question was about the special power the second question is about the inspiration. So about the special power in,0,0,0,0
189,20170422,NYSCI,Yvonne,Oh sorry Dennis I think your video might have froze. If you can hear us  just type what you want to say in the group chat,0,0,0,0
190,20170422,SAG,Denis,Are you able to get me?,0,0,0,0
191,20170422,NYSCI,Yvonne,Yeah we can hear you,0,0,0,0
192,20170422,SAG,Denis,Okay so about the special power the special power that I would like to have in case I have the chance is to be able to read any person's mind just to know what the person is thinking just to know what the person is thinking and the intentions of individuals yeah. Then about the inspiration I do there's a novel I do read about Robin Sharma do you know it? Do you know him?,0,0,0,0
